trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
208,False,"{'a': 0.5, 'e': 0.12362903413636196}",20,6,3.0798863017215012,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.12239274379499834}",25,5,-29.168875322028594,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
210,False,"{'a': 0.5, 'e': 0.12116881635704835}",30,21,17.390367435769743,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.11995712819347787}",30,18,19.227258921611064,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.11875755691154309}",20,11,4.379155866915073,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
213,False,"{'a': 0.5, 'e': 0.11756998134242766}",25,13,24.522804487408305,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.5, 'e': 0.11639428152900338}",30,17,19.208318284320637,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.5, 'e': 0.11523033871371334}",25,17,17.737421743208408,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.5, 'e': 0.1140780353265762}",25,13,8.589715116243086,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.11293725497331045}",20,10,19.46879331668911,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.5, 'e': 0.11180788242357734}",25,4,18.210119462123117,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.11068980359934157}",20,0,-44.90021616878917,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
220,False,"{'a': 0.5, 'e': 0.10958290556334815}",20,6,-34.14442800973609,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 0}",1
