trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
242,False,"{'a': 0.5, 'e': 0.08784500919014836}",30,12,20.539382588140185,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.08696655909824688}",25,1,-24.490159310529478,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
244,False,"{'a': 0.5, 'e': 0.0860968935072644}",25,17,15.228693144519768,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.5, 'e': 0.08523592457219176}",25,17,9.858860958383985,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.5, 'e': 0.08438356532646984}",25,18,9.907256216090012,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.5, 'e': 0.08353972967320515}",20,3,18.388083582230486,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
248,False,"{'a': 0.5, 'e': 0.0827043323764731}",25,11,22.172301966847193,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.5, 'e': 0.08187728905270836}",20,8,-20.808277985442633,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
250,False,"{'a': 0.5, 'e': 0.08105851616218128}",20,2,16.521495109487937,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
251,False,"{'a': 0.5, 'e': 0.08024793100055946}",30,20,18.81120302631296,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.5, 'e': 0.07944545169055386}",20,0,23.11000295799742,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
253,False,"{'a': 0.5, 'e': 0.07865099717364833}",20,14,-3.288967510927059,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.5, 'e': 0.07786448720191184}",20,8,-32.469513067315575,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
255,False,"{'a': 0.5, 'e': 0.07708584232989273}",20,6,-19.260549417270727,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
256,False,"{'a': 0.5, 'e': 0.0763149839065938}",20,0,0.45501023767210413,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
257,False,"{'a': 0.5, 'e': 0.07555183406752786}",25,0,1.8096631736977014,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
258,False,"{'a': 0.5, 'e': 0.07479631572685258}",20,10,16.374666777414888,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.5, 'e': 0.07404835256958406}",30,16,26.573256445919043,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.07330786904388821}",30,23,11.279414885801286,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.5, 'e': 0.07257479035344933}",25,0,4.792699165459118,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
262,False,"{'a': 0.5, 'e': 0.07184904244991483}",25,10,27.45783888356402,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.5, 'e': 0.07113055202541568}",25,0,35.77488621242891,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
264,False,"{'a': 0.5, 'e': 0.07041924650516153}",20,13,2.4617015328800242,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
265,False,"{'a': 0.5, 'e': 0.06971505404010991}",30,22,14.11111864934325,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.5, 'e': 0.06901790349970881}",30,13,11.660726343734208,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
267,False,"{'a': 0.5, 'e': 0.06832772446471172}",30,18,24.73540822805297,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.5, 'e': 0.0676444472200646}",20,14,11.875602425107214,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.5, 'e': 0.06696800274786396}",20,6,7.468411938596214,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
270,False,"{'a': 0.5, 'e': 0.06629832272038531}",20,0,27.097616348051666,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
271,False,"{'a': 0.5, 'e': 0.06563533949318147}",20,10,21.036598271091744,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.5, 'e': 0.06497898609824965}",25,10,-17.413372157850443,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
273,False,"{'a': 0.5, 'e': 0.06432919623726716}",20,8,18.35440191608343,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.5, 'e': 0.06368590427489448}",20,7,23.852505662521743,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
